Date,open,high,low,close,volume
04-03-2023,6.028,6.058,5.725,5.91,259943.684
05-03-2023,5.91,6.07,5.886,5.97,236845.14
06-03-2023,5.98,6.05,5.854,5.91,277879.665
07-03-2023,5.91,6.029,5.733,5.832,459525.178
08-03-2023,5.832,5.949,5.501,5.593,645159.34
09-03-2023,5.593,5.808,5.245,5.39,739191.345
10-03-2023,5.375,5.591,5.137,5.544,955764.961
11-03-2023,5.544,5.683,5.218,5.458,727273.498
12-03-2023,5.458,5.912,5.349,5.878,654726.543
13-03-2023,5.899,6.147,5.701,6.092,1019569.25
14-03-2023,6.103,6.538,5.981,6.236,979213.494
15-03-2023,6.215,6.371,5.763,5.857,885258.723
16-03-2023,5.876,6.155,5.758,6.085,616344.782
17-03-2023,6.097,6.638,6.025,6.612,763172.092
18-03-2023,6.627,6.7,6.274,6.307,653448.168
19-03-2023,6.307,6.607,6.302,6.456,488809.586
20-03-2023,6.46,6.485,6.048,6.084,548911.785
21-03-2023,6.095,6.459,5.996,6.376,550425.14
22-03-2023,6.376,6.408,5.904,6.044,655979.559
23-03-2023,6.06,6.433,5.989,6.314,429800.101
24-03-2023,6.326,6.342,5.948,6.015,582347.022
25-03-2023,6.015,6.08,5.829,5.896,218924.676
26-03-2023,5.896,6.098,5.875,6.055,178124.211
27-03-2023,6.055,6.121,5.734,5.871,333124.078
28-03-2023,5.864,6.129,5.782,6.056,288920.491
29-03-2023,6.07,6.287,6.043,6.178,377028.934
30-03-2023,6.178,6.296,6.014,6.118,384083.48
31-03-2023,6.128,6.385,6.096,6.346,426613.448
01-04-2023,6.338,6.398,6.187,6.358,262951.46
02-04-2023,6.339,6.455,6.17,6.259,303252.04
03-04-2023,6.259,6.509,6.082,6.419,535232.176
04-04-2023,6.417,6.533,6.364,6.44,437559.106
05-04-2023,6.429,6.591,6.309,6.41,370299.757
06-04-2023,6.398,6.423,6.249,6.271,270447.556
07-04-2023,6.271,6.323,6.134,6.174,263775.167
08-04-2023,6.182,6.243,6.083,6.136,206446.941
09-04-2023,6.127,6.271,6.086,6.206,216897.962
10-04-2023,6.214,6.317,6.105,6.29,255817.34
11-04-2023,6.303,6.493,6.275,6.413,416937.677
12-04-2023,6.422,6.477,6.208,6.397,452481.696
13-04-2023,6.397,6.656,6.346,6.62,451357.888
14-04-2023,6.62,6.852,6.524,6.736,651607.255
15-04-2023,6.736,6.87,6.632,6.794,379349.555
16-04-2023,6.806,6.897,6.673,6.823,380316.21
17-04-2023,6.823,6.837,6.624,6.687,423889.45
18-04-2023,6.687,6.998,6.568,6.908,511920.48
19-04-2023,6.93,6.93,6.232,6.309,566839.382
20-04-2023,6.303,6.442,6.056,6.102,515010.705
21-04-2023,6.102,6.172,5.782,5.851,451371.813
22-04-2023,5.851,5.981,5.815,5.949,204894.966
23-04-2023,5.949,5.99,5.757,5.894,228298.992
24-04-2023,5.906,6.043,5.795,5.891,276978.809
25-04-2023,5.891,6.016,5.777,6.011,268262.533
26-04-2023,6.011,6.234,5.596,5.855,567582.809
27-04-2023,5.843,6.056,5.83,5.967,362116.797
28-04-2023,5.974,5.986,5.764,5.953,313251.97
29-04-2023,5.953,6.063,5.905,6.034,208240.016
30-04-2023,6.034,6.095,5.844,5.886,254212.257
01-05-2023,5.867,5.914,5.578,5.67,324264.877
02-05-2023,5.661,5.761,5.616,5.702,231203.578
03-05-2023,5.717,5.814,5.556,5.769,282826.834
04-05-2023,5.786,5.809,5.614,5.671,163091.828
05-05-2023,5.671,5.907,5.649,5.85,266455.6
06-05-2023,5.85,5.903,5.573,5.639,212667.278
07-05-2023,5.632,5.704,5.594,5.632,152998.917
08-05-2023,5.626,5.654,5.159,5.368,457298.745
09-05-2023,5.375,5.412,5.273,5.316,239100.321
10-05-2023,5.327,5.523,5.205,5.458,360566.472
11-05-2023,5.458,5.477,5.169,5.283,271987.837
12-05-2023,5.277,5.352,5.105,5.343,279073.043
13-05-2023,5.343,5.407,5.299,5.343,136326.63
14-05-2023,5.343,5.451,5.297,5.344,144647.645
15-05-2023,5.346,5.436,5.26,5.32,211093.707
16-05-2023,5.32,5.338,5.22,5.291,182372.455
17-05-2023,5.303,5.445,5.216,5.411,278362.91
18-05-2023,5.423,5.473,5.242,5.335,285916.874
19-05-2023,5.347,5.4,5.299,5.376,182837.415
20-05-2023,5.362,5.453,5.324,5.407,149724.671
21-05-2023,5.412,5.442,5.234,5.272,152445.021
22-05-2023,5.278,5.346,5.208,5.295,171577.96
23-05-2023,5.318,5.46,5.285,5.402,175503.234
24-05-2023,5.402,5.405,5.185,5.259,231258.712
25-05-2023,5.246,5.311,5.122,5.253,200766.696
26-05-2023,5.241,5.273,5.186,5.24,167036.962
27-05-2023,5.24,5.385,5.225,5.332,191085.834
28-05-2023,5.332,5.573,5.308,5.504,207877.75
29-05-2023,5.498,5.539,5.409,5.452,187051.402
30-05-2023,5.452,5.531,5.403,5.449,223286.776
31-05-2023,5.449,5.465,5.249,5.312,264906.186
01-06-2023,5.312,5.348,5.174,5.203,224494.229
02-06-2023,5.203,5.328,5.153,5.283,279821.627
03-06-2023,5.283,5.341,5.239,5.341,122246.237
04-06-2023,5.341,5.393,5.296,5.312,177560.824
05-06-2023,5.312,5.334,4.89,5.072,503985.382
06-06-2023,5.072,5.273,4.975,5.207,304070.893
07-06-2023,5.207,5.226,4.971,5.025,280512.04
08-06-2023,5.02,5.076,4.966,5.027,224783.502
09-06-2023,5.019,5.084,4.927,4.985,186078.735
10-06-2023,4.985,4.997,4.192,4.524,1052784.127
11-06-2023,4.524,4.57,4.414,4.525,287265.676
12-06-2023,4.525,4.568,4.412,4.537,272922.32
13-06-2023,4.537,4.74,4.493,4.631,253834.944
14-06-2023,4.631,4.801,4.499,4.567,310810.387
15-06-2023,4.567,4.622,4.272,4.365,530719.498
16-06-2023,4.365,4.462,4.262,4.417,316121.197
17-06-2023,4.417,4.568,4.392,4.518,212086.033
18-06-2023,4.523,4.664,4.467,4.539,243570.111
19-06-2023,4.524,4.588,4.414,4.513,236326.144
20-06-2023,4.513,4.677,4.355,4.659,319429.377
21-06-2023,4.659,4.878,4.617,4.817,444242.089
